url,http_status,redirect_location,canonical_tag,content_length,category
"https://bio-clinic.it/equipe/giovanna-costa/",308,"/equipe/giovanna-costa","",0,equipe
"https://bio-clinic.it/equipe/giuliana-guagnozzi/",308,"/equipe/giuliana-guagnozzi","",0,equipe
"https://bio-clinic.it/equipe/gloria-reggiani/",308,"/equipe/gloria-reggiani","",0,equipe
"https://bio-clinic.it/equipe/guido-marongiu/",308,"/equipe/guido-marongiu","",0,equipe
"https://bio-clinic.it/equipe/irene-aini/",308,"/equipe/irene-aini","",0,equipe
"https://bio-clinic.it/equipe/luigi-podda/",308,"/equipe/luigi-podda","",0,equipe
"https://bio-clinic.it/equipe/maddalena-pola/",308,"/equipe/maddalena-pola","",0,equipe
"https://bio-clinic.it/equipe/marco-petrillo/",308,"/equipe/marco-petrillo","",0,equipe
"https://bio-clinic.it/equipe/margherita-dessole/",308,"/equipe/margherita-dessole","",0,equipe
"https://bio-clinic.it/equipe/maria-laura-de-luca/",308,"/equipe/maria-laura-de-luca","",0,equipe
"https://bio-clinic.it/equipe/maria-pina-pintus/",308,"/equipe/maria-pina-pintus","",0,equipe
"https://bio-clinic.it/equipe/mariolina-azara/",308,"/equipe/mariolina-azara","",0,equipe
"https://bio-clinic.it/equipe/matteo-zucca/",308,"/equipe/matteo-zucca","",0,equipe
"https://bio-clinic.it/equipe/niccolo-melis/",308,"/equipe/niccolo-melis","",0,equipe
"https://bio-clinic.it/equipe/nicola-frau/",308,"/equipe/nicola-frau","",0,equipe
"https://bio-clinic.it/equipe/paolo-dessole/",308,"/equipe/paolo-dessole","",0,equipe
"https://bio-clinic.it/equipe/paolo-franca/",308,"/equipe/paolo-franca","",0,equipe
"https://bio-clinic.it/equipe/paolo-pischedda/",308,"/equipe/paolo-pischedda","",0,equipe
"https://bio-clinic.it/equipe/pietro-lisai/",308,"/equipe/pietro-lisai","",0,equipe
"https://bio-clinic.it/equipe/pietro-pirina/",308,"/equipe/pietro-pirina","",0,equipe
"https://bio-clinic.it/equipe/profilo/",308,"/equipe/profilo","",0,equipe
"https://bio-clinic.it/equipe/roberto-mancino/",308,"/equipe/roberto-mancino","",0,equipe
"https://bio-clinic.it/equipe/salvatore-dessole/",308,"/equipe/salvatore-dessole","",0,equipe
"https://bio-clinic.it/equipe/sara-uras/",308,"/equipe/sara-uras","",0,equipe
"https://bio-clinic.it/equipe/sebastiano-traccis/",308,"/equipe/sebastiano-traccis","",0,equipe
"https://bio-clinic.it/equipe/sergio-paolo-sotgia/",308,"/equipe/sergio-paolo-sotgia","",0,equipe
"https://bio-clinic.it/equipe/sonia-bove/",308,"/equipe/sonia-bove","",0,equipe
"https://bio-clinic.it/equipe/speranza-anedda/",308,"/equipe/speranza-anedda","",0,equipe
"https://bio-clinic.it/equipe/tonino-bullitta/",308,"/equipe/tonino-bullitta","",0,equipe
"https://bio-clinic.it/gastroenterologia/",200,"","https://bio-clinic.it/gastroenterologia/",33811,hub
"https://bio-clinic.it/genetica/",200,"","https://bio-clinic.it/genetica/",67293,root-other
"https://bio-clinic.it/ginecologi-sassari/",308,"/pages/ginecologi-sassari","",0,root-other
"https://bio-clinic.it/ginecologia/",200,"","https://bio-clinic.it/ginecologia/",67572,hub
"https://bio-clinic.it/hpv-dna-test/",308,"/pages/hpv-dna-test","",0,root-other
"https://bio-clinic.it/hpv-test/",308,"/pages/hpv-test","",0,root-other
"https://bio-clinic.it/impedenzometria/",308,"/pages/impedenzometria","",0,root-other
"https://bio-clinic.it/infiltrazioni-articolari/",308,"/pages/infiltrazioni-articolari","",0,root-other
"https://bio-clinic.it/isterosalpingografia/",200,"","https://bio-clinic.it/isterosalpingografia/",59979,root-other
"https://bio-clinic.it/isteroscopia/",200,"","https://bio-clinic.it/isteroscopia/",45186,root-other
"https://bio-clinic.it/laboratorio/",200,"","https://bio-clinic.it/laboratorio/",36898,hierarchical-lab
"https://bio-clinic.it/laboratorio/",200,"","https://bio-clinic.it/laboratorio/",36898,hierarchical-lab
"https://bio-clinic.it/laboratorio/stat/",308,"/laboratorio/stat","",0,hierarchical-lab
"https://bio-clinic.it/listino-completo/",308,"/listino-completo","",0,root-other
"https://bio-clinic.it/mappatura-nevi/",308,"/pages/mappatura-nevi","",0,root-other
"https://bio-clinic.it/medicina-del-lavoro/",200,"","https://bio-clinic.it/medicina-del-lavoro-sassari/",42033,root-other
"https://bio-clinic.it/monitoraggio-follicolare/",308,"/pages/monitoraggio-follicolare","",0,root-other
"https://bio-clinic.it/mounjaro-tirzepatide-sassari/",200,"","https://bio-clinic.it/mounjaro-tirzepatide-sassari/",66083,root-other
"https://bio-clinic.it/mounjaro-tirzepatide-sassari/",200,"","https://bio-clinic.it/mounjaro-tirzepatide-sassari/",66083,root-other
"https://bio-clinic.it/neurologia/",200,"","https://bio-clinic.it/neurologia/",34588,hub
"https://bio-clinic.it/oculistica/",200,"","https://bio-clinic.it/oculistica/",35539,hub
"https://bio-clinic.it/ortopedia/",200,"","https://bio-clinic.it/ortopedia/",34809,hub
"https://bio-clinic.it/otorinolaringoiatria/",200,"","https://bio-clinic.it/otorinolaringoiatria/",34737,hub
"https://bio-clinic.it/pap-test/",308,"/pages/pap-test","",0,root-other
"https://bio-clinic.it/perifit-kegel-sassari/",308,"/pages/perifit-kegel-sassari","",0,root-other
"https://bio-clinic.it/pma-fertilita/",200,"","https://bio-clinic.it/pma-fertilita/",50275,hub
"https://bio-clinic.it/pneumologia/",200,"","https://bio-clinic.it/pneumologia/",33412,hub
"https://bio-clinic.it/preparazione-esami/",200,"","https://bio-clinic.it/preparazione-esami/",46674,root-other
"https://bio-clinic.it/prestazioni/",200,"","https://bio-clinic.it/prestazioni/",45599,root-other
"https://bio-clinic.it/prevenzione/",200,"","https://bio-clinic.it/prevenzione/",41412,root-other
"https://bio-clinic.it/privacy/",200,"","https://bio-clinic.it/privacy/",25472,root-other
"https://bio-clinic.it/radiofrequenza-vaginale/",308,"/pages/radiofrequenza-vaginale","",0,root-other
"https://bio-clinic.it/reumatologia/",200,"","https://bio-clinic.it/reumatologia/",33373,hub
"https://bio-clinic.it/riabilitazione-pavimento-pelvico/",308,"/pages/riabilitazione-pavimento-pelvico","",0,root-other
"https://bio-clinic.it/rinofibrolaringoscopia/",308,"/pages/rinofibrolaringoscopia","",0,root-other
"https://bio-clinic.it/scleroterapia/",308,"/pages/scleroterapia","",0,root-other
"https://bio-clinic.it/screening-inps-sardegna/",308,"/pages/screening-inps-sardegna","",0,root-other
"https://bio-clinic.it/shop/",200,"","https://bio-clinic.it/",12887,root-other
"https://bio-clinic.it/slim-care-donna/",200,"","https://bio-clinic.it/slim-care-donna/",50102,root-other
"https://bio-clinic.it/slim-care/",200,"","https://bio-clinic.it/slim-care/",48212,hub
"https://bio-clinic.it/specialita/",200,"","https://bio-clinic.it/specialita/",42523,root-other
"https://bio-clinic.it/spirometria/",308,"/pages/spirometria","",0,root-other
"https://bio-clinic.it/symptom-checker/",308,"/pages/symptom-checker","",0,root-other
"https://bio-clinic.it/translucenza-nucale/",308,"/pages/translucenza-nucale","",0,root-other
"https://bio-clinic.it/trattamenti-pavimento-pelvico/",308,"/pages/trattamenti-pavimento-pelvico","",0,root-other
"https://bio-clinic.it/urologia/",200,"","https://bio-clinic.it/urologia/",34782,hub
"https://bio-clinic.it/visita-cardiologica/",200,"","https://bio-clinic.it/visita-cardiologica-ecg/",1100,root-service
"https://bio-clinic.it/visita-chirurgia-vascolare/",308,"/pages/visita-chirurgia-vascolare","",0,root-service
"https://bio-clinic.it/visita-dermatologica/",200,"","https://bio-clinic.it/visita-dermatologica/",38825,root-service
"https://bio-clinic.it/visita-ematologica/",308,"/pages/visita-ematologica","",0,root-service
"https://bio-clinic.it/visita-endocrinologica/",200,"","https://bio-clinic.it/visita-endocrinologica/",38735,root-service
"https://bio-clinic.it/visita-fisiatrica/",308,"/pages/visita-fisiatrica","",0,root-service
"https://bio-clinic.it/visita-gastroenterologica/",308,"/pages/visita-gastroenterologica","",0,root-service
"https://bio-clinic.it/visita-ginecologica/",200,"","https://bio-clinic.it/visita-ginecologica/",40031,root-service
"https://bio-clinic.it/visita-internistica/",308,"/pages/visita-internistica","",0,root-service
"https://bio-clinic.it/visita-medicina-lavoro/",308,"/pages/visita-medicina-lavoro","",0,root-service
"https://bio-clinic.it/visita-medicina-sport/",308,"/pages/visita-medicina-sport","",0,root-service
"https://bio-clinic.it/visita-nefrologica/",308,"/pages/visita-nefrologica","",0,root-service
"https://bio-clinic.it/visita-neurologica/",200,"","https://bio-clinic.it/visita-neurologica/",37593,root-service
"https://bio-clinic.it/visita-nutrizionale/",308,"/pages/visita-nutrizionale","",0,root-service
"https://bio-clinic.it/visita-oculistica/",308,"/pages/visita-oculistica","",0,root-service
"https://bio-clinic.it/visita-orl/",308,"/pages/visita-orl","",0,root-service
"https://bio-clinic.it/visita-ortopedica/",308,"/pages/visita-ortopedica","",0,root-service
"https://bio-clinic.it/visita-pediatrica/",308,"/pages/visita-pediatrica","",0,root-service
"https://bio-clinic.it/visita-pneumologica/",308,"/pages/visita-pneumologica","",0,root-service
"https://bio-clinic.it/visita-reumatologica/",308,"/pages/visita-reumatologica","",0,root-service
"https://bio-clinic.it/visita-urologica/",308,"/pages/visita-urologica","",0,root-service
"https://bio-clinic.it/pages/visita-cardiologica-ecg",200,"","https://bio-clinic.it/pages/visita-cardiologica-ecg.html",39514,pages-legacy
"https://bio-clinic.it/pages/visita-ginecologica",200,"","https://bio-clinic.it/visita-ginecologica/",40031,pages-legacy
"https://bio-clinic.it/pages/visita-dermatologica",200,"","https://bio-clinic.it/visita-dermatologica/",38825,pages-legacy
"https://bio-clinic.it/pages/visita-endocrinologica",200,"","https://bio-clinic.it/visita-endocrinologica/",38735,pages-legacy
"https://bio-clinic.it/pages/visita-neurologica",200,"","https://bio-clinic.it/visita-neurologica/",37593,pages-legacy
"https://bio-clinic.it/pages/visita-ortopedica",200,"","https://bio-clinic.it/visita-ortopedica/",37447,pages-legacy
"https://bio-clinic.it/pages/visita-urologica",200,"","https://bio-clinic.it/visita-urologica/",36682,pages-legacy
"https://bio-clinic.it/pages/visita-oculistica",200,"","https://bio-clinic.it/visita-oculistica/",42206,pages-legacy
"https://bio-clinic.it/pages/visita-gastroenterologica",200,"","https://bio-clinic.it/visita-gastroenterologica/",36274,pages-legacy
"https://bio-clinic.it/pages/visita-pneumologica",200,"","https://bio-clinic.it/visita-pneumologica/",36176,pages-legacy
"https://bio-clinic.it/pages/visita-reumatologica",200,"","https://bio-clinic.it/visita-reumatologica/",35817,pages-legacy
"https://bio-clinic.it/pages/visita-ematologica",200,"","https://bio-clinic.it/visita-ematologica/",37053,pages-legacy
"https://bio-clinic.it/pages/visita-fisiatrica",200,"","https://bio-clinic.it/visita-fisiatrica/",35812,pages-legacy
